id,name,location,unit_number,category,opening_hours,price_range,halal,vegetarian,website_url,phone_number
V045,South Spine Food Court (Foodies' Clan),South Spine,SS3-B4,Canteen,Daily: 7.30am to 9pm; 9 - 10 Aug 2026: Closed,$1-10,FALSE,TRUE,null,null
V046,Starbucks,North Spine,N2.1-01-06,Café/Restaurant,"School Term - Mon to Fri: 7am to 10pm; School Vacation - Mon to Fri, Eve of PH: 7.30am to 9pm; Sat, Sun & PH: 8am to 8pm",$1-10,FALSE,TRUE,https://www.starbucks.com.sg,null
V047,Subway,North Spine,N2.1-01-07,Fast Food/Takeout,"Sat, Sun & PH: 11am to 7pm; Mon to Fri: 8am to 9pm",$1-10,TRUE,TRUE,https://subwayisfresh.com.sg,6462 5238
V048,Thai Dynasty Express,North Spine,NS3-01-24,Café/Restaurant,"PH: Closed; School Term - Mon to Fri: 8.30am to 8.30pm; School Term - Sat, Sun & PH: 10.30am to 8.30pm; School Vacation - Mon to Sun: 10.30am to 7.30pm",$1-10,FALSE,FALSE,https://www.dynastygroup.com.sg/thai-dynasty,null
V049,The Crowded Bowl at North Spine,North Spine,NS3-01-18,Fast Food/Takeout,Mon to Fri: 8am to 8pm; Sat: 8am to 5pm; Sun & PH: Closed,$1-10,FALSE,TRUE,null,null
V050,The Crowded Bowl at Wee Cho Yaw Plaza,Gaia,ABS-01-013A,Fast Food/Takeout,"School Term - Mon to Fri: 8.30am to 6.30pm; School Vacation - Mon to Fri: 8.30am to 4pm; Sat, Sun & PH: Closed",$1-10,FALSE,TRUE,null,null
V051,The Soup Spoon Union,North Spine,NS3-01-14,Café/Restaurant,"Mon to Fri: 11am to 8pm; Sat, Sun & PH: Closed",$10-20,TRUE,TRUE,https://www.thesoupspoon.com/etc/TSS%20Union%20Menu%20NTU_.pdf,null
V052,Vending Machine Cafe @ SSC,SSC,SSC-01-02A,Vending Machine,Daily: 24-hour,$1-10,FALSE,FALSE,null,null
V053,Venture Drive Coffee at North Spine,North Spine,NS3-01-13,Coffee,"School Term - Mon to Fri: 8am to 6pm; School Vacation - Mon to Fri: 8am to 4pm; Sat, Sun & PH: Closed",$1-10,FALSE,TRUE,https://www.venturedrive.coffee/?srsltid=AU7gw4VRH4KL3qfAoU688030r-9PojcQe5NEPANmEQMnZ1n41OdzNxbj,null
V054,Venture Drive Coffee at Wee Cho Yaw Plaza,Gaia,ABS-01-013B,Coffee,"School Term - Mon to Fri: 8am to 6pm; School Vacation - Mon to Fri: 8am to 4pm; Sat, Sun & PH: Closed",$1-10,FALSE,TRUE,https://www.venturedrive.coffee/?srsltid=AU7gw4VRH4KL3qfAoU688030r-9PojcQe5NEPANmEQMnZ1n41OdzNxbj,null
V055,Wok Express,North Spine,NS2.1-02-01/03,Fast Food/Takeout,Mon to Fri: 9.30am to 8pm; Sat: 9.30am to 2pm; Sun & PH: Closed,$1-10,FALSE,FALSE,https://www.instagram.com/wokexpress.sg/?hl=en,null
V056,Yew Kee Specialities,North Spine,NS3-01-23,Café/Restaurant,Mon to Fri: 10am to 7.30pm (last order); Sat: 10am to 3pm; Sun & PH: Closed,$1-10,FALSE,FALSE,https://www.ykgi.com.sg,6555 6992
